stream_index,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,current_phase,future_phase,current_severity,future_severity,history_utilization_applicable,clean_prediction_error_mean,corrupted_prediction_error_mean,clean_prediction_error_mse,corrupted_prediction_error_mse,clean_prediction_error_rms,corrupted_prediction_error_rms,clean_temporal_error_input_mean,corrupted_temporal_error_input_mean,clean_temporal_error_input_rms,corrupted_temporal_error_input_rms,clean_temporal_error_state_mean,corrupted_temporal_error_state_mean,clean_temporal_error_state_rms,corrupted_temporal_error_state_rms,clean_feature_mse,corrupted_feature_mse,clean_copy_current_feature_mse,corrupted_copy_current_feature_mse,clean_current_feature_rms,corrupted_current_feature_rms,clean_history_input_rms,corrupted_history_input_rms,clean_history_to_feature_rms_ratio,corrupted_history_to_feature_rms_ratio,clean_predicted_delta_rms,corrupted_predicted_delta_rms,clean_zero_history_predicted_delta_rms,corrupted_zero_history_predicted_delta_rms,clean_history_contribution_rms,corrupted_history_contribution_rms,clean_history_contribution_to_delta_rms_ratio,corrupted_history_contribution_to_delta_rms_ratio,clean_zero_history_feature_mse,corrupted_zero_history_feature_mse,clean_history_feature_mse_change,corrupted_history_feature_mse_change,signed_excess_feature_mse,absolute_excess_feature_mse,positive_excess_feature_mse
0,159,159,160,0000000159.png,0000000160.png,baseline,baseline,0.0,0.0,False,0.00766753638163209,0.00766753638163209,0.09354373067617416,0.09354373067617416,0.30584919597110954,0.30584919597110954,0.0,0.0,0.0,0.0,0.0015871803043410182,0.0015871803043410182,0.06331078449435923,0.06331078449435923,0.09354373067617416,0.09354373067617416,0.0926172062754631,0.0926172062754631,0.6421167172222075,0.6421167172222075,0.0,0.0,0.0,0.0,0.05367885628527083,0.05367885628527083,0.05367885628527083,0.05367885628527083,0.0,0.0,0.0,0.0,0.09354373067617416,0.09354373067617416,0.0,0.0,0.0,0.0,0.0
1,160,160,161,0000000160.png,0000000161.png,baseline,baseline,0.0,0.0,False,-0.0058876266703009605,-0.0058876266703009605,0.05908625200390816,0.05908625200390816,0.24307663812861194,0.24307663812861194,0.0,0.0,0.0,0.0,3.9895101508591324e-05,3.9895101508591324e-05,0.06707359975202956,0.06707359975202956,0.05908625200390816,0.05908625200390816,0.05752689763903618,0.05752689763903618,0.6883178528006301,0.6883178528006301,0.0,0.0,0.0,0.0,0.06186694983593148,0.06186694983593148,0.06186694983593148,0.06186694983593148,0.0,0.0,0.0,0.0,0.05908625200390816,0.05908625200390816,0.0,0.0,0.0,0.0,0.0
2,161,161,162,0000000161.png,0000000162.png,baseline,baseline,0.0,0.0,False,0.007402713876217604,0.007402713876217604,0.0527101568877697,0.0527101568877697,0.22958692664820812,0.22958692664820812,0.0,0.0,0.0,0.0,0.0015639985213056207,0.0015639985213056207,0.07761281923193702,0.07761281923193702,0.0527101568877697,0.0527101568877697,0.0495016984641552,0.0495016984641552,0.653744911699205,0.653744911699205,0.0,0.0,0.0,0.0,0.05899075479931178,0.05899075479931178,0.05899075479931178,0.05899075479931178,0.0,0.0,0.0,0.0,0.0527101568877697,0.0527101568877697,0.0,0.0,0.0,0.0,0.0
3,162,162,163,0000000162.png,0000000163.png,baseline,baseline,0.0,0.0,False,0.007566255982965231,0.007566255982965231,0.06039200723171234,0.06039200723171234,0.24574785295443038,0.24574785295443038,0.0,0.0,0.0,0.0,0.0028064658399671316,0.0028064658399671316,0.08612405511880346,0.08612405511880346,0.06039200723171234,0.06039200723171234,0.057532086968421936,0.057532086968421936,0.6946543246578941,0.6946543246578941,0.0,0.0,0.0,0.0,0.061919761795521916,0.061919761795521916,0.061919761795521916,0.061919761795521916,0.0,0.0,0.0,0.0,0.06039200723171234,0.06039200723171234,0.0,0.0,0.0,0.0,0.0
4,163,163,164,0000000163.png,0000000164.png,baseline,baseline,0.0,0.0,False,0.00587172107771039,0.00587172107771039,0.07576119899749756,0.07576119899749756,0.2752475231450731,0.2752475231450731,0.0,0.0,0.0,0.0,0.0034409735817462206,0.0034409735817462206,0.09234114870774104,0.09234114870774104,0.07576119899749756,0.07576119899749756,0.07350744307041168,0.07350744307041168,0.7353172344893506,0.7353172344893506,0.0,0.0,0.0,0.0,0.06821439901116405,0.06821439901116405,0.06821439901116405,0.06821439901116405,0.0,0.0,0.0,0.0,0.07576119899749756,0.07576119899749756,0.0,0.0,0.0,0.0,0.0
5,164,164,165,0000000164.png,0000000165.png,baseline,baseline,0.0,0.0,False,-0.0019740560092031956,-0.0019740560092031956,0.09366367757320404,0.09366367757320404,0.30604522145134705,0.30604522145134705,0.0,0.0,0.0,0.0,0.0023200626019388437,0.0023200626019388437,0.0945058640765372,0.0945058640765372,0.09366367757320404,0.09366367757320404,0.09143027663230896,0.09143027663230896,0.751067831894896,0.751067831894896,0.0,0.0,0.0,0.0,0.070795512825518,0.070795512825518,0.070795512825518,0.070795512825518,0.0,0.0,0.0,0.0,0.09366367757320404,0.09366367757320404,0.0,0.0,0.0,0.0,0.0
6,165,165,166,0000000165.png,0000000166.png,baseline,baseline,0.0,0.0,False,0.0018374122446402907,0.0018374122446402907,0.09179704636335373,0.09179704636335373,0.30298027388487475,0.30298027388487475,0.0,0.0,0.0,0.0,0.00222015380859375,0.00222015380859375,0.09558967756056055,0.09558967756056055,0.09179704636335373,0.09179704636335373,0.08901075273752213,0.08901075273752213,0.737622123240744,0.737622123240744,0.0,0.0,0.0,0.0,0.06921989845222999,0.06921989845222999,0.06921989845222999,0.06921989845222999,0.0,0.0,0.0,0.0,0.09179704636335373,0.09179704636335373,0.0,0.0,0.0,0.0,0.0
7,166,166,167,0000000166.png,0000000167.png,baseline,baseline,0.0,0.0,False,0.009162310510873795,0.009162310510873795,0.10403729975223541,0.10403729975223541,0.3225481355584549,0.3225481355584549,0.0,0.0,0.0,0.0,0.003657180117443204,0.003657180117443204,0.10493788631804324,0.10493788631804324,0.10403729975223541,0.10403729975223541,0.10039177536964417,0.10039177536964417,0.7572887222953413,0.7572887222953413,0.0,0.0,0.0,0.0,0.07316240733953207,0.07316240733953207,0.07316240733953207,0.07316240733953207,0.0,0.0,0.0,0.0,0.10403729975223541,0.10403729975223541,0.0,0.0,0.0,0.0,0.0
8,167,167,168,0000000167.png,0000000168.png,baseline,baseline,0.0,0.0,False,0.008474975824356079,0.008474975824356079,0.09370781481266022,0.09370781481266022,0.3061173219742068,0.3061173219742068,0.0,0.0,0.0,0.0,0.004654463846236467,0.004654463846236467,0.1112938794787019,0.1112938794787019,0.09370781481266022,0.09370781481266022,0.08694318681955338,0.08694318681955338,0.8092678411530498,0.8092678411530498,0.0,0.0,0.0,0.0,0.0802389483833835,0.0802389483833835,0.0802389483833835,0.0802389483833835,0.0,0.0,0.0,0.0,0.09370781481266022,0.09370781481266022,0.0,0.0,0.0,0.0,0.0
9,168,168,169,0000000168.png,0000000169.png,baseline,iid_noise,0.0,1.0,False,-0.006343891844153404,-0.00818647351115942,0.08494143187999725,0.24418891966342926,0.29144713393683813,0.49415475274799214,0.0,0.0,0.0,0.0,0.0023778039030730724,0.0019963893573731184,0.0995876671941696,0.11391458146639159,0.08494143187999725,0.24418891966342926,0.08523032069206238,0.2521756589412689,0.8425830259078898,0.8425830259078898,0.0,0.0,0.0,0.0,0.08329562051580125,0.08329562051580125,0.08329562051580125,0.08329562051580125,0.0,0.0,0.0,0.0,0.08494143187999725,0.24418891966342926,0.0,0.0,0.159247487783432,0.159247487783432,0.159247487783432
